province,year,month,lst_day_c
Zabul,2018,10,30.245054728414058
Khost,2018,11,19.954891115314506
Paktika,2018,11,21.74828503732408
Daykundi,2018,11,12.724000654184945
Panjsher,2018,11,-0.4631512524652274
Parwan,2018,11,10.407933994517503
Uruzgan,2018,11,17.57502082067246
Badakhshan,2018,11,-5.539877891317461
Badghis,2018,11,14.931118122321378
Baghlan,2018,11,6.844428931863318
Balkh,2018,11,16.42486718276236
Bamyan,2018,11,5.476834973201905
Farah,2018,11,24.71297648312372
Faryab,2018,11,14.858131773181348
Ghazni,2018,11,15.05003204344374
Ghor,2018,11,11.004910242227842
Hilmand,2018,11,28.943648637947238
Hirat,2018,11,18.747476198063403
Jawzjan,2018,11,17.403247344682462
Kabul,2018,11,15.961587671742626
Kandahar,2018,11,29.041031127337106
Kapisa,2018,11,14.766611432223982
Kunar,2018,11,12.928980162074
Kunduz,2018,11,15.297152516087587
Laghman,2018,11,16.536177550464355
Logar,2018,11,15.267969612903267
Nangarhar,2018,11,19.07251566412329
Nimroz,2018,11,30.53825774799197
Nuristan,2018,11,0.40404917921896266
Paktya,2018,11,15.134064012276465
Samangan,2018,11,9.64456788832508
Sar-e-Pul,2018,11,9.122215380896078
Takhar,2018,11,6.30567452028667
Wardak,2018,11,10.191863627099593
Zabul,2018,11,22.068391288451586
Khost,2018,12,14.499451289773873
Paktika,2018,12,15.030986832401235
Daykundi,2018,12,8.26553251390971
Panjsher,2018,12,-4.531131852428837
Parwan,2018,12,5.148984962370114
Uruzgan,2018,12,11.722512726015264
Badakhshan,2018,12,-9.737500872986308
Badghis,2018,12,10.875656073147063
Baghlan,2018,12,5.67663577356775
Balkh,2018,12,13.690761371286529
Bamyan,2018,12,0.375926095289967
Farah,2018,12,20.941518771141585
Faryab,2018,12,11.559109863297788
Ghazni,2018,12,9.396042138493213
Ghor,2018,12,5.985219044366976
Hilmand,2018,12,23.98157608313372
Hirat,2018,12,15.43509012093917
Jawzjan,2018,12,13.937391454729317
Kabul,2018,12,9.811477133030122
Kandahar,2018,12,23.050266793768298
Kapisa,2018,12,8.623453560492829
Kunar,2018,12,8.785192829958543
Kunduz,2018,12,13.277068905111845
Laghman,2018,12,11.457039309147996
Logar,2018,12,8.764573638467438
Nangarhar,2018,12,13.205460251670203
Nimroz,2018,12,26.2147973172439
Nuristan,2018,12,-4.638079081663682
Paktya,2018,12,10.19492041023516
Samangan,2018,12,7.8749599110145585
Sar-e-Pul,2018,12,5.432216702481765
Takhar,2018,12,5.068171955144774
Wardak,2018,12,4.27618496063204
Zabul,2018,12,15.790884732370609
Khost,2019,1,9.56128401749374
Paktika,2019,1,9.618642939984447
Daykundi,2019,1,-1.3480546717729855
Panjsher,2019,1,-14.232026671597904
Parwan,2019,1,-5.973437420820105
Uruzgan,2019,1,6.795554567916017
Badakhshan,2019,1,-15.809263578483746
Badghis,2019,1,4.700841476949182
Baghlan,2019,1,-2.5190100410135905
Balkh,2019,1,9.285259217398648
Bamyan,2019,1,-9.903683406055185
Farah,2019,1,18.04110713196969
Faryab,2019,1,6.319844598304103
Ghazni,2019,1,-1.0642584310727325
Ghor,2019,1,-4.99183195373424
Hilmand,2019,1,21.27299276029216
Hirat,2019,1,11.862933314537251
Jawzjan,2019,1,10.847507661488747
Kabul,2019,1,1.0304063134611106
Kandahar,2019,1,20.51093900823439
Kapisa,2019,1,-0.048880863905257255
Kunar,2019,1,2.346842743996222
Kunduz,2019,1,10.336369742798746
Laghman,2019,1,5.346142152436846
Logar,2019,1,-2.3252994569742333
Nangarhar,2019,1,9.245435991528817
Nimroz,2019,1,24.087298511992543
Nuristan,2019,1,-11.860503078217159
Paktya,2019,1,-0.3521664351671653
Samangan,2019,1,-0.3920486023404982
Sar-e-Pul,2019,1,-1.6824699293272547
Takhar,2019,1,-2.4365889659944955
Wardak,2019,1,-9.474665246324431
Zabul,2019,1,10.543441298712418
Khost,2019,2,10.646562860091116
Paktika,2019,2,5.913734469448281
Daykundi,2019,2,-1.7825024359485147
Panjsher,2019,2,-9.722866961173436
Parwan,2019,2,-3.2111531168061096
Uruzgan,2019,2,5.789839685465338
Badakhshan,2019,2,-10.881124186647659
Badghis,2019,2,5.180480933843744
Baghlan,2019,2,1.4845680973327349
Balkh,2019,2,12.889479489492912
Bamyan,2019,2,-7.171911733101968
Farah,2019,2,15.912051647040864
Faryab,2019,2,7.386672935831631
Ghazni,2019,2,-4.162452531334611
Ghor,2019,2,-3.778460748396467
Hilmand,2019,2,20.25010756574612
Hirat,2019,2,10.265057331819081
Jawzjan,2019,2,13.089256024198304
Kabul,2019,2,3.0946214330376947
Kandahar,2019,2,19.2386653759149
Kapisa,2019,2,3.020695000289543
Kunar,2019,2,4.66957918238087
Kunduz,2019,2,13.134390337259104
Laghman,2019,2,7.881648945318011
Logar,2019,2,-2.0480494904151345
Nangarhar,2019,2,10.639581405252814
Nimroz,2019,2,24.97488377336009
Nuristan,2019,2,-8.192772707432102
Paktya,2019,2,0.2172672700456012
Samangan,2019,2,1.8224457219155694
Sar-e-Pul,2019,2,1.5773900860457526
Takhar,2019,2,2.142988984784314
Wardak,2019,2,-7.239265756626026
Zabul,2019,2,7.034977877161038
Khost,2019,3,20.698512633290907
Paktika,2019,3,19.367598303216965
Daykundi,2019,3,9.642214086537638
Panjsher,2019,3,-1.3844354461005903
Parwan,2019,3,7.606724774895114
Uruzgan,2019,3,15.44179480545016
Badakhshan,2019,3,-0.12291770339013369
Badghis,2019,3,16.675145588757747
Baghlan,2019,3,13.43453410211603
Balkh,2019,3,25.576570519500887
Bamyan,2019,3,2.9852218174841405
Farah,2019,3,27.735485275776906
Faryab,2019,3,19.245151899191548
Ghazni,2019,3,7.290780322372883
Ghor,2019,3,6.5921101056095885
Hilmand,2019,3,31.435839448255667
Hirat,2019,3,21.190013847687148
Jawzjan,2019,3,26.391112198208457
Kabul,2019,3,15.31678103840543
Kandahar,2019,3,30.38917461338959
Kapisa,2019,3,13.465948905586
Kunar,2019,3,13.490817887005894
Kunduz,2019,3,26.573868891173202
Laghman,2019,3,17.41184033867522
Logar,2019,3,11.435904797221557
Nangarhar,2019,3,19.869093562671686
Nimroz,2019,3,36.12764122023782
Nuristan,2019,3,-0.41538374386278415
Paktya,2019,3,12.74258097033229
Samangan,2019,3,15.150813672335316
Sar-e-Pul,2019,3,11.264151129617268
Takhar,2019,3,14.271082688037826
Wardak,2019,3,2.2039577263250125
Zabul,2019,3,19.099612184220874
Khost,2019,4,25.86464207835179
Paktika,2019,4,30.286600341035047
Daykundi,2019,4,21.139753877738258
Panjsher,2019,4,6.71496260441485
Parwan,2019,4,17.839567581914256
Uruzgan,2019,4,25.721341439547455
Badakhshan,2019,4,8.042260003064102
Badghis,2019,4,22.342293156402235
Baghlan,2019,4,18.707091557005338
Balkh,2019,4,29.4836885898098
Bamyan,2019,4,15.701110600026878
Farah,2019,4,34.316794197363194
Faryab,2019,4,23.708442526568696
Ghazni,2019,4,23.04553104491157
Ghor,2019,4,19.30638097520499
Hilmand,2019,4,39.17645934514459
Hirat,2019,4,27.57296572624242
Jawzjan,2019,4,31.7527600963465
Kabul,2019,4,23.174922518689105
Kandahar,2019,4,40.18457716953269
Kapisa,2019,4,20.563490686212788
Kunar,2019,4,19.00930928944689
Kunduz,2019,4,31.118395243065763
Laghman,2019,4,22.958720508856107
Logar,2019,4,23.077651510962724
Nangarhar,2019,4,26.04708081258799
Nimroz,2019,4,42.306393632763566
Nuristan,2019,4,6.129239794650738
Paktya,2019,4,22.6777004002104
Samangan,2019,4,20.469684403285598
Sar-e-Pul,2019,4,18.189273936060996
Takhar,2019,4,19.395368178695886
Wardak,2019,4,17.96581781198096
Zabul,2019,4,31.334427311643886
Khost,2019,5,32.37614875661243
Paktika,2019,5,38.255002205032476
Daykundi,2019,5,31.157376893458608
Panjsher,2019,5,14.55026992042
Parwan,2019,5,25.87861413594919
Uruzgan,2019,5,35.18081986091079
Badakhshan,2019,5,14.843643465598348
Badghis,2019,5,34.32227613111212
Baghlan,2019,5,26.707159352180305
Balkh,2019,5,41.684006472419256
Bamyan,2019,5,25.357419807187252
Farah,2019,5,43.64175251884108
Faryab,2019,5,37.06604453810322
Ghazni,2019,5,31.28839009029714
Ghor,2019,5,30.65984322309934
Hilmand,2019,5,47.465489128621
Hirat,2019,5,39.12512219516922
