province,year,month,vv_db,vh_db
Panjsher,2016,8,-4.66062120636782,-12.096041264680265
Parwan,2016,8,,
Uruzgan,2016,8,,
Badakhshan,2016,8,-8.062099682165487,-15.329712872772145
Badghis,2016,8,,
Baghlan,2016,8,,
Balkh,2016,8,,
Bamyan,2016,8,,
Farah,2016,8,,
Faryab,2016,8,,
Ghazni,2016,8,,
Ghor,2016,8,,
Hilmand,2016,8,,
Hirat,2016,8,,
Jawzjan,2016,8,,
Kabul,2016,8,,
Kandahar,2016,8,,
Kapisa,2016,8,,
Kunar,2016,8,-7.972194861531982,-14.92182837001332
Kunduz,2016,8,,
Laghman,2016,8,-7.078537214210308,-15.233953162791906
Logar,2016,8,,
Nangarhar,2016,8,-8.346759850099291,-15.424121619357008
Nimroz,2016,8,,
Nuristan,2016,8,-6.598367676036876,-14.34958563779793
Paktya,2016,8,,
Samangan,2016,8,,
Sar-e-Pul,2016,8,,
Takhar,2016,8,-7.545278064506704,-15.818141058226907
Wardak,2016,8,,
Zabul,2016,8,,
Khost,2016,9,,
Paktika,2016,9,,
Daykundi,2016,9,,
Panjsher,2016,9,-4.701173568976194,-12.16809500889655
Parwan,2016,9,,
Uruzgan,2016,9,,
Badakhshan,2016,9,-8.013381355512834,-15.210041414962639
Badghis,2016,9,,
Baghlan,2016,9,,
Balkh,2016,9,,
Bamyan,2016,9,,
Farah,2016,9,,
Faryab,2016,9,,
Ghazni,2016,9,,
Ghor,2016,9,,
Hilmand,2016,9,,
Hirat,2016,9,,
Jawzjan,2016,9,,
Kabul,2016,9,,
Kandahar,2016,9,,
Kapisa,2016,9,,
Kunar,2016,9,-7.844008786748812,-14.88558841507451
Kunduz,2016,9,,
Laghman,2016,9,-7.0985027029907455,-15.356035865633341
Logar,2016,9,,
Nangarhar,2016,9,-8.410463785768691,-15.56942190724348
Nimroz,2016,9,,
Nuristan,2016,9,-6.327036047928322,-13.885927466804851
Paktya,2016,9,,
Samangan,2016,9,,
Sar-e-Pul,2016,9,,
Takhar,2016,9,-7.583078074499431,-15.816776038027074
Wardak,2016,9,,
Zabul,2016,9,,
Khost,2016,10,,
Paktika,2016,10,,
Daykundi,2016,10,,
Panjsher,2016,10,-4.728889148765347,-12.482554764024695
Parwan,2016,10,,
Uruzgan,2016,10,,
Badakhshan,2016,10,-8.276047530061536,-15.960061284684224
Badghis,2016,10,,
Baghlan,2016,10,,
Balkh,2016,10,,
Bamyan,2016,10,,
Farah,2016,10,,
Faryab,2016,10,,
Ghazni,2016,10,,
Ghor,2016,10,,
Hilmand,2016,10,,
Hirat,2016,10,,
Jawzjan,2016,10,,
Kabul,2016,10,,
Kandahar,2016,10,,
Kapisa,2016,10,,
Kunar,2016,10,-7.89547018275854,-15.274418478564261
Kunduz,2016,10,,
Laghman,2016,10,-6.995206360726247,-15.494206796485388
Logar,2016,10,,
Nangarhar,2016,10,-8.316851860965476,-15.644797927055167
Nimroz,2016,10,,
Nuristan,2016,10,-6.4171174549475465,-14.350024955173897
Paktya,2016,10,,
Samangan,2016,10,,
Sar-e-Pul,2016,10,,
Takhar,2016,10,-7.769385172221574,-16.30568132472003
Wardak,2016,10,,
Zabul,2016,10,,
Khost,2016,11,,
Paktika,2016,11,,
Daykundi,2016,11,,
Panjsher,2016,11,,
Parwan,2016,11,,
Uruzgan,2016,11,,
Badakhshan,2016,11,,
Badghis,2016,11,,
Baghlan,2016,11,,
Balkh,2016,11,,
Bamyan,2016,11,,
Farah,2016,11,-14.69890626675405,-23.411904241568664
Faryab,2016,11,,
Ghazni,2016,11,,
Ghor,2016,11,,
Hilmand,2016,11,,
Hirat,2016,11,-16.54510478472688,-25.8598509581539
Jawzjan,2016,11,,
Kabul,2016,11,,
Kandahar,2016,11,,
Kapisa,2016,11,,
