province,year,month,ndvi,evi
Baghlan,2019,12,0.10505409591485591,0.059352804955762686
Balkh,2019,12,0.11520735445286635,0.07636761412794782
Bamyan,2019,12,0.026298529746869113,0.01599272127955064
Farah,2019,12,0.09759333842528455,0.062236242792542085
Faryab,2019,12,0.13868674274394055,0.08887298024175212
Ghazni,2019,12,0.05441556272527137,0.03611417471032284
Ghor,2019,12,0.05109599190060049,0.03150368389953958
Hilmand,2019,12,0.10403355513069633,0.06853907263082366
Hirat,2019,12,0.11903043883707169,0.06994753477663186
Jawzjan,2019,12,0.12810398424316163,0.08558783880551425
Kabul,2019,12,0.11977795926068553,0.06861178562161213
Kandahar,2019,12,0.11104863684418563,0.07464872655670184
Kapisa,2019,12,0.15672425219548491,0.08290608031904276
Kunar,2019,12,0.39254643278520485,0.1423207747355302
Kunduz,2019,12,0.13079520881727275,0.08160389124553079
Laghman,2019,12,0.22473934099481752,0.10436506691291036
Logar,2019,12,0.07760115582681461,0.04625221183678608
Nangarhar,2019,12,0.1752485561965398,0.087116323021907
Nimroz,2019,12,0.0767062502195103,0.05566172154909488
Nuristan,2019,12,0.10225083008976775,0.02902242853481463
Paktya,2019,12,0.15177740219778582,0.07820699382626434
Samangan,2019,12,0.12133958742399135,0.08166877851929993
Sar-e-Pul,2019,12,0.08811988212792869,0.053251187116575706
Takhar,2019,12,0.10362320505790433,0.056183018669800515
Wardak,2019,12,0.027304526409433913,0.014526331748911865
Zabul,2019,12,0.10216768834534005,0.06375488243205253
Khost,2020,1,0.19534540363854602,0.10158487034067287
Paktika,2020,1,0.04016355745855577,0.021359178517774552
Daykundi,2020,1,-0.02291166123051646,-0.02651671667077257
Panjsher,2020,1,-0.02743009159258655,-0.024458007312339512
Parwan,2020,1,-0.0190386039022477,-0.020096920628949893
Uruzgan,2020,1,0.05475749199405446,0.025973512017925644
Badakhshan,2020,1,-0.023585145415139088,-0.023477477455303923
Badghis,2020,1,0.11030755096927744,0.05932006945536112
Baghlan,2020,1,0.06955949161626254,0.03869231697570055
Balkh,2020,1,0.10570752651706165,0.07017599602899383
Bamyan,2020,1,-0.01049156366851739,-0.01393123670638028
Farah,2020,1,0.0889307811540277,0.05556897614036054
Faryab,2020,1,0.12549718575992297,0.07277962333323053
Ghazni,2020,1,-0.030121094310196644,-0.03152200153657193
Ghor,2020,1,-0.028865396986623815,-0.02987267814780355
Hilmand,2020,1,0.1018630652213078,0.0649481363105949
Hirat,2020,1,0.09965348253276707,0.0560450178759535
Jawzjan,2020,1,0.1313974613216403,0.08937944695179746
Kabul,2020,1,0.014543571171608274,0.005077556939473467
Kandahar,2020,1,0.1088502400262993,0.06674029979100392
Kapisa,2020,1,0.04968443658057002,0.027189258200482666
Kunar,2020,1,0.24547653339438094,0.1080989628667778
Kunduz,2020,1,0.14224547734537585,0.08053797205693786
Laghman,2020,1,0.1622749826185342,0.08256899119016689
Logar,2020,1,-0.014810640186339558,-0.015109719537346467
Nangarhar,2020,1,0.15212450599214833,0.0768377282020168
Nimroz,2020,1,0.07683787638536704,0.0547674443793114
Nuristan,2020,1,0.020956192611223067,0.0009270176382396873
Paktya,2020,1,0.05248538703758602,0.02918225018322134
