province,year,month,precip_total_mm
Ghor,2012,12,53.657408680603744
Hilmand,2012,12,23.708204003811698
Hirat,2012,12,60.24983604893605
Jawzjan,2012,12,32.05368718842568
Kabul,2012,12,42.35351220519227
Kandahar,2012,12,35.04611028326281
Kapisa,2012,12,44.45258772871725
Kunar,2012,12,42.13126329329116
Kunduz,2012,12,50.4000881478686
Laghman,2012,12,32.08567536595225
Logar,2012,12,46.363356092293884
Nangarhar,2012,12,34.965153308086755
Nimroz,2012,12,12.160993933539435
Nuristan,2012,12,30.822009541797897
Paktya,2012,12,51.06282439636286
Samangan,2012,12,41.33702647492948
Sar-e-Pul,2012,12,35.59042904716473
Takhar,2012,12,61.006972927612374
Wardak,2012,12,30.021275992951537
Zabul,2012,12,43.43527046666807
Khost,2013,1,18.610578599038778
Paktika,2013,1,19.492131838972075
Daykundi,2013,1,14.776526151674226
Panjsher,2013,1,24.65112298829007
Parwan,2013,1,35.74326419494237
Uruzgan,2013,1,18.767725786032432
Badakhshan,2013,1,21.98842400367523
Badghis,2013,1,32.83330746707714
Baghlan,2013,1,46.64003321737337
Balkh,2013,1,31.021928960132016
Bamyan,2013,1,23.234784931168768
Farah,2013,1,17.000388294843013
Faryab,2013,1,44.285220233071406
Ghazni,2013,1,13.623621481352425
Ghor,2013,1,19.629553247442477
Hilmand,2013,1,15.762802304711546
Hirat,2013,1,27.964780678020084
Jawzjan,2013,1,40.50978053249955
Kabul,2013,1,20.670567031474135
Kandahar,2013,1,17.018361491615575
Kapisa,2013,1,20.442465691672165
Kunar,2013,1,14.93993714627462
Kunduz,2013,1,30.473940509008255
Laghman,2013,1,7.51170516877918
Logar,2013,1,18.1973693476464
Nangarhar,2013,1,16.169889613140967
Nimroz,2013,1,12.33529970064475
Nuristan,2013,1,15.190109790013548
Paktya,2013,1,23.641935362551152
Samangan,2013,1,42.48510558232853
Sar-e-Pul,2013,1,32.60042734566207
Takhar,2013,1,38.47080104829045
Wardak,2013,1,16.126786488005443
Zabul,2013,1,13.89156824054865
Khost,2013,2,156.09840404875274
Paktika,2013,2,119.73294942413672
Daykundi,2013,2,69.11319972493742
Panjsher,2013,2,131.6916771292546
Parwan,2013,2,161.9429608338003
Uruzgan,2013,2,119.82695596802814
Badakhshan,2013,2,59.48176669974392
Badghis,2013,2,58.99576715302366
Baghlan,2013,2,124.69610262667626
Balkh,2013,2,58.078933340630265
Bamyan,2013,2,71.37302255815305
Farah,2013,2,32.383290063438686
Faryab,2013,2,61.90821747895024
Ghazni,2013,2,106.1299393374864
Ghor,2013,2,49.079828741778506
Hilmand,2013,2,39.8753756184469
Hirat,2013,2,55.0390255528546
Jawzjan,2013,2,36.79307894672392
Kabul,2013,2,154.04356850202245
Kandahar,2013,2,87.38143715216347
Kapisa,2013,2,156.15101270820452
Kunar,2013,2,127.54182134408539
Kunduz,2013,2,76.74106617686996
Laghman,2013,2,114.3213129259103
Logar,2013,2,190.98805094595562
Nangarhar,2013,2,130.63432777887348
Nimroz,2013,2,14.327957278519909
Nuristan,2013,2,107.04512658968237
Paktya,2013,2,191.85000323836516
Samangan,2013,2,102.80205584131242
Sar-e-Pul,2013,2,71.97325324341753
Takhar,2013,2,98.77332275672366
Wardak,2013,2,103.45617669757532
Zabul,2013,2,160.99430779882698
Khost,2013,3,116.69280479665615
Paktika,2013,3,54.51366177125676
Daykundi,2013,3,46.3339433065258
Panjsher,2013,3,165.73264341207963
Parwan,2013,3,168.6856482542268
Uruzgan,2013,3,76.72316721842489
Badakhshan,2013,3,65.2846861735998
Badghis,2013,3,76.90978259805699
Baghlan,2013,3,162.95652528034148
Balkh,2013,3,53.36693251555221
Bamyan,2013,3,53.848608441616115
Farah,2013,3,30.150402172992298
Faryab,2013,3,71.92912115575727
Ghazni,2013,3,49.10783010135007
Ghor,2013,3,42.37864808097018
Hilmand,2013,3,31.854512685830006
Hirat,2013,3,54.641073098424755
Jawzjan,2013,3,41.363917723842356
Kabul,2013,3,132.45901103442606
Kandahar,2013,3,60.089409254193
Kapisa,2013,3,155.0361125717379
Kunar,2013,3,165.03555911525152
Kunduz,2013,3,70.7704814259085
Laghman,2013,3,141.6742559258332
Logar,2013,3,104.4627350373855
Nangarhar,2013,3,153.97143405990238
Nimroz,2013,3,13.96073791508311
Nuristan,2013,3,111.17403015689366
Paktya,2013,3,120.02031319379414
Samangan,2013,3,96.5148750383238
Sar-e-Pul,2013,3,94.45487275473187
Takhar,2013,3,100.00177708926014
Wardak,2013,3,69.59773055309881
Zabul,2013,3,63.359277964295515
Khost,2013,4,92.01048805235217
Paktika,2013,4,36.39284787575171
Daykundi,2013,4,71.34609894808186
Panjsher,2013,4,72.77598986209892
Parwan,2013,4,133.33808590035355
Uruzgan,2013,4,45.22166443868754
Badakhshan,2013,4,42.748633339870814
Badghis,2013,4,40.066940411692464
Baghlan,2013,4,101.09088573775914
Balkh,2013,4,50.869502409042795
Bamyan,2013,4,78.16929231144165
Farah,2013,4,14.697798252605253
Faryab,2013,4,56.78552580389154
Ghazni,2013,4,49.49653071900994
Ghor,2013,4,50.7248707245337
Hilmand,2013,4,11.731066020013824
Hirat,2013,4,23.843472355662016
Jawzjan,2013,4,43.92847196810286
Kabul,2013,4,69.10263858428999
Kandahar,2013,4,18.017430135211317
Kapisa,2013,4,79.30848968841788
Kunar,2013,4,87.87867056929123
