province,year,month,vci,tci,vhi
Badghis,2021,4,14.45,0.0,7.22
Baghlan,2021,4,57.04,68.08,62.56
Balkh,2021,4,39.6,12.0,25.8
Bamyan,2021,4,63.65,42.06,52.86
Farah,2021,4,0.0,0.0,0.0
Faryab,2021,4,29.1,0.0,14.55
Ghazni,2021,4,47.29,27.62,37.46
Ghor,2021,4,0.0,0.19,0.1
Hilmand,2021,4,21.79,22.87,22.33
Hirat,2021,4,0.0,0.0,0.0
Jawzjan,2021,4,39.13,0.0,19.56
Kabul,2021,4,44.57,46.26,45.41
Kandahar,2021,4,12.24,36.63,24.44
Kapisa,2021,4,48.44,58.41,53.43
Kunar,2021,4,0.0,53.36,26.68
Kunduz,2021,4,100.0,38.62,69.31
Laghman,2021,4,45.5,49.64,47.57
Logar,2021,4,29.86,41.99,35.92
Nangarhar,2021,4,33.72,48.17,40.95
Nimroz,2021,4,65.45,13.95,39.7
Nuristan,2021,4,4.51,75.56,40.03
Paktya,2021,4,51.43,46.24,48.83
Samangan,2021,4,36.79,32.84,34.82
Sar-e-Pul,2021,4,23.27,9.55,16.41
Takhar,2021,4,26.87,82.65,54.76
Wardak,2021,4,57.49,35.68,46.59
Zabul,2021,4,1.08,31.39,16.24
Khost,2021,5,63.52,73.01,68.27
Paktika,2021,5,25.22,45.73,35.48
Daykundi,2021,5,43.78,46.41,45.1
Panjsher,2021,5,26.82,89.14,57.98
Parwan,2021,5,54.99,81.4,68.19
Uruzgan,2021,5,18.91,69.21,44.06
Badakhshan,2021,5,13.1,80.41,46.76
Badghis,2021,5,0.0,28.75,14.38
Baghlan,2021,5,73.99,49.48,61.73
Balkh,2021,5,43.83,16.79,30.31
Bamyan,2021,5,59.23,45.03,52.13
Farah,2021,5,2.71,65.87,34.29
Faryab,2021,5,15.87,0.0,7.93
Ghazni,2021,5,29.33,45.72,37.52
Ghor,2021,5,0.0,40.11,20.06
Hilmand,2021,5,21.56,64.72,43.14
Hirat,2021,5,0.0,57.6,28.8
Jawzjan,2021,5,38.4,2.97,20.69
Kabul,2021,5,43.38,54.43,48.91
Kandahar,2021,5,16.09,59.66,37.87
Kapisa,2021,5,56.36,55.29,55.83
Kunar,2021,5,46.1,75.81,60.95
Kunduz,2021,5,85.58,29.63,57.6
Laghman,2021,5,57.97,52.2,55.08
Logar,2021,5,37.02,51.67,44.34
Nangarhar,2021,5,44.95,40.75,42.85
Nimroz,2021,5,35.8,38.6,37.2
Nuristan,2021,5,37.57,86.64,62.1
Paktya,2021,5,60.63,65.15,62.89
Samangan,2021,5,55.15,51.29,53.22
Sar-e-Pul,2021,5,25.21,19.06,22.13
Takhar,2021,5,81.9,41.48,61.69
Wardak,2021,5,42.3,61.77,52.04
Zabul,2021,5,6.31,35.43,20.87
Khost,2021,6,9.31,4.15,6.73
Paktika,2021,6,22.58,13.85,18.22
Daykundi,2021,6,36.96,14.36,25.66
Panjsher,2021,6,92.18,33.58,62.88
Parwan,2021,6,60.66,22.89,41.77
Uruzgan,2021,6,15.03,48.66,31.85
Badakhshan,2021,6,49.91,16.59,33.25
Badghis,2021,6,3.71,0.0,1.86
Baghlan,2021,6,64.55,9.26,36.91
Balkh,2021,6,41.76,22.35,32.06
Bamyan,2021,6,56.76,6.01,31.39
Farah,2021,6,14.79,0.0,7.4
Faryab,2021,6,14.08,0.0,7.04
Ghazni,2021,6,29.65,19.95,24.8
Ghor,2021,6,6.42,2.45,4.43
Hilmand,2021,6,23.79,31.96,27.88
Hirat,2021,6,3.89,0.0,1.95
Jawzjan,2021,6,35.88,28.86,32.37
Kabul,2021,6,27.06,29.57,28.32
Kandahar,2021,6,23.94,17.08,20.51
Kapisa,2021,6,42.88,25.8,34.34
Kunar,2021,6,29.06,0.0,14.53
Kunduz,2021,6,73.77,31.17,52.47
Laghman,2021,6,34.71,0.0,17.35
Logar,2021,6,32.43,26.01,29.22
Nangarhar,2021,6,13.34,1.35,7.34
Nimroz,2021,6,42.3,0.0,21.15
Nuristan,2021,6,75.19,22.29,48.74
Paktya,2021,6,34.99,6.97,20.98
Samangan,2021,6,55.07,20.76,37.91
Sar-e-Pul,2021,6,36.7,0.0,18.35
Takhar,2021,6,54.78,7.1,30.94
Wardak,2021,6,40.22,8.42,24.32
Zabul,2021,6,17.0,15.67,16.33
Khost,2021,7,34.38,0.0,17.19
Paktika,2021,7,15.33,21.85,18.59
Daykundi,2021,7,21.08,35.49,28.28
Panjsher,2021,7,70.91,42.89,56.9
Parwan,2021,7,44.95,38.21,41.58
Uruzgan,2021,7,19.59,37.74,28.66
Badakhshan,2021,7,44.79,42.07,43.43
Badghis,2021,7,11.95,38.35,25.15
Baghlan,2021,7,51.68,54.28,52.98
Balkh,2021,7,35.57,58.79,47.18
Bamyan,2021,7,53.05,42.02,47.53
Farah,2021,7,11.9,52.87,32.38
Faryab,2021,7,19.42,51.1,35.26
Ghazni,2021,7,24.79,33.02,28.91
Ghor,2021,7,2.33,29.45,15.89
Hilmand,2021,7,14.06,49.17,31.62
Hirat,2021,7,13.95,44.1,29.02
Jawzjan,2021,7,34.23,58.07,46.15
Kabul,2021,7,39.65,39.56,39.6
Kandahar,2021,7,23.17,52.6,37.89
Kapisa,2021,7,61.78,20.43,41.1
Kunar,2021,7,71.07,33.22,52.14
Kunduz,2021,7,77.34,65.84,71.59
Laghman,2021,7,70.98,28.65,49.82
Logar,2021,7,40.33,47.77,44.05
Nangarhar,2021,7,65.14,27.44,46.29
Nimroz,2021,7,32.9,38.35,35.62
Nuristan,2021,7,53.73,8.79,31.26
Paktya,2021,7,31.62,34.88,33.25
Samangan,2021,7,61.03,67.55,64.29
Sar-e-Pul,2021,7,35.48,44.76,40.12
Takhar,2021,7,55.95,55.77,55.86
Wardak,2021,7,39.28,47.91,43.59
Zabul,2021,7,17.11,29.01,23.06
Khost,2021,8,45.87,29.19,37.53
Paktika,2021,8,26.81,9.8,18.31
Daykundi,2021,8,9.15,41.5,25.33
Panjsher,2021,8,46.29,24.15,35.22
Parwan,2021,8,40.27,13.9,27.08
Uruzgan,2021,8,27.49,35.15,31.32
Badakhshan,2021,8,44.08,38.37,41.22
Badghis,2021,8,16.43,0.0,8.22
Baghlan,2021,8,51.99,20.63,36.31
Balkh,2021,8,43.99,0.0,22.0
Bamyan,2021,8,39.8,27.34,33.57
Farah,2021,8,23.06,19.43,21.24
Faryab,2021,8,23.75,0.0,11.87
Ghazni,2021,8,11.27,12.36,11.82
Ghor,2021,8,0.0,48.91,24.46
Hilmand,2021,8,47.22,37.73,42.47
Hirat,2021,8,18.3,0.0,9.15
Jawzjan,2021,8,35.02,0.0,17.51
Kabul,2021,8,43.65,25.22,34.43
Kandahar,2021,8,35.59,29.93,32.76
